"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2249,177,"PHL","Philippines",1,"Abra","","","Lalawigan|Probinsya","Province"
2250,177,"PHL","Philippines",2,"Agusan del Norte","","","Lalawigan|Probinsya","Province"
2251,177,"PHL","Philippines",3,"Agusan del Sur","","","Lalawigan|Probinsya","Province"
2252,177,"PHL","Philippines",4,"Aklan","","","Lalawigan|Probinsya","Province"
2253,177,"PHL","Philippines",5,"Albay","","","Lalawigan|Probinsya","Province"
2254,177,"PHL","Philippines",6,"Antique","","","Lalawigan|Probinsya","Province"
2255,177,"PHL","Philippines",7,"Apayao","","","Lalawigan|Probinsya","Province"
2256,177,"PHL","Philippines",8,"Aurora","","","Lalawigan|Probinsya","Province"
2257,177,"PHL","Philippines",9,"Basilan","","","Lalawigan|Probinsya","Province"
2258,177,"PHL","Philippines",10,"Bataan","","","Lalawigan|Probinsya","Province"
2259,177,"PHL","Philippines",11,"Batanes","","","Lalawigan|Probinsya","Province"
2260,177,"PHL","Philippines",12,"Batangas","","","Lalawigan|Probinsya","Province"
2261,177,"PHL","Philippines",13,"Benguet","","","Lalawigan|Probinsya","Province"
2262,177,"PHL","Philippines",14,"Biliran","","","Lalawigan|Probinsya","Province"
2263,177,"PHL","Philippines",15,"Bohol","","","Lalawigan|Probinsya","Province"
2264,177,"PHL","Philippines",16,"Bukidnon","","","Lalawigan|Probinsya","Province"
2265,177,"PHL","Philippines",17,"Bulacan","","","Lalawigan|Probinsya","Province"
2266,177,"PHL","Philippines",18,"Cagayan","","","Lalawigan|Probinsya","Province"
2267,177,"PHL","Philippines",19,"Camarines Norte","","","Lalawigan|Probinsya","Province"
2268,177,"PHL","Philippines",20,"Camarines Sur","","","Lalawigan|Probinsya","Province"
2269,177,"PHL","Philippines",21,"Camiguin","","","Lalawigan|Probinsya","Province"
2270,177,"PHL","Philippines",22,"Capiz","","","Lalawigan|Probinsya","Province"
2271,177,"PHL","Philippines",23,"Catanduanes","","","Lalawigan|Probinsya","Province"
2272,177,"PHL","Philippines",24,"Cavite","","","Lalawigan|Probinsya","Province"
2273,177,"PHL","Philippines",25,"Cebu","","","Lalawigan|Probinsya","Province"
2274,177,"PHL","Philippines",26,"Compostela Valley","","","Lalawigan|Probinsya","Province"
2275,177,"PHL","Philippines",27,"Davao del Norte","","Davao","Lalawigan|Probinsya","Province"
2276,177,"PHL","Philippines",28,"Davao del Sur","","","Lalawigan|Probinsya","Province"
2277,177,"PHL","Philippines",29,"Davao Oriental","","","Lalawigan|Probinsya","Province"
2278,177,"PHL","Philippines",30,"Dinagat Islands","","","Lalawigan|Probinsya","Province"
2279,177,"PHL","Philippines",31,"Eastern Samar","","","Lalawigan|Probinsya","Province"
2280,177,"PHL","Philippines",32,"Guimaras","","","Lalawigan|Probinsya","Province"
2281,177,"PHL","Philippines",33,"Ifugao","","","Lalawigan|Probinsya","Province"
2282,177,"PHL","Philippines",34,"Ilocos Norte","","","Lalawigan|Probinsya","Province"
2283,177,"PHL","Philippines",35,"Ilocos Sur","","","Lalawigan|Probinsya","Province"
2284,177,"PHL","Philippines",36,"Iloilo","","","Lalawigan|Probinsya","Province"
2285,177,"PHL","Philippines",37,"Isabela","","","Lalawigan|Probinsya","Province"
2286,177,"PHL","Philippines",38,"Kalinga","","","Lalawigan|Probinsya","Province"
2287,177,"PHL","Philippines",39,"La Union","","","Lalawigan|Probinsya","Province"
2288,177,"PHL","Philippines",40,"Laguna","","","Lalawigan|Probinsya","Province"
2289,177,"PHL","Philippines",41,"Lanao del Norte","","","Lalawigan|Probinsya","Province"
2290,177,"PHL","Philippines",42,"Lanao del Sur","","","Lalawigan|Probinsya","Province"
2291,177,"PHL","Philippines",43,"Leyte","","","Lalawigan|Probinsya","Province"
2292,177,"PHL","Philippines",44,"Maguindanao","","","Lalawigan|Probinsya","Province"
2293,177,"PHL","Philippines",45,"Marinduque","","","Lalawigan|Probinsya","Province"
2294,177,"PHL","Philippines",46,"Masbate","","","Lalawigan|Probinsya","Province"
2295,177,"PHL","Philippines",47,"Metropolitan Manila","","","Lalawigan|Probinsya","Province"
2296,177,"PHL","Philippines",48,"Misamis Occidental","","","Lalawigan|Probinsya","Province"
2297,177,"PHL","Philippines",49,"Misamis Oriental","","","Lalawigan|Probinsya","Province"
2298,177,"PHL","Philippines",50,"Mountain Province","","","Lalawigan|Probinsya","Province"
2299,177,"PHL","Philippines",51,"Negros Occidental","","","Lalawigan|Probinsya","Province"
2300,177,"PHL","Philippines",52,"Negros Oriental","","","Lalawigan|Probinsya","Province"
2301,177,"PHL","Philippines",53,"North Cotabato","","","Lalawigan|Probinsya","Province"
2302,177,"PHL","Philippines",54,"Northern Samar","","","Lalawigan|Probinsya","Province"
2303,177,"PHL","Philippines",55,"Nueva Ecija","","","Lalawigan|Probinsya","Province"
2304,177,"PHL","Philippines",56,"Nueva Vizcaya","","","Lalawigan|Probinsya","Province"
2305,177,"PHL","Philippines",57,"Occidental Mindoro","","","Lalawigan|Probinsya","Province"
2306,177,"PHL","Philippines",58,"Oriental Mindoro","","","Lalawigan|Probinsya","Province"
2307,177,"PHL","Philippines",59,"Palawan","","Paragua","Lalawigan|Probinsya","Province"
2308,177,"PHL","Philippines",60,"Pampanga","","","Lalawigan|Probinsya","Province"
2309,177,"PHL","Philippines",61,"Pangasinan","","","Lalawigan|Probinsya","Province"
2310,177,"PHL","Philippines",62,"Quezon","","","Lalawigan|Probinsya","Province"
2311,177,"PHL","Philippines",63,"Quirino","","","Lalawigan|Probinsya","Province"
2312,177,"PHL","Philippines",64,"Rizal","","","Lalawigan|Probinsya","Province"
2313,177,"PHL","Philippines",65,"Romblon","","","Lalawigan|Probinsya","Province"
2314,177,"PHL","Philippines",66,"Samar","","Western Samar","Lalawigan|Probinsya","Province"
2315,177,"PHL","Philippines",67,"Sarangani","","","Lalawigan|Probinsya","Province"
2316,177,"PHL","Philippines",68,"Shariff Kabunsuan","","","Lalawigan|Probinsya","Province"
2317,177,"PHL","Philippines",69,"Siquijor","","","Lalawigan|Probinsya","Province"
2318,177,"PHL","Philippines",70,"Sorsogon","","","Lalawigan|Probinsya","Province"
2319,177,"PHL","Philippines",71,"South Cotabato","","","Lalawigan|Probinsya","Province"
2320,177,"PHL","Philippines",72,"Southern Leyte","","","Lalawigan|Probinsya","Province"
2321,177,"PHL","Philippines",73,"Sultan Kudarat","","","Lalawigan|Probinsya","Province"
2322,177,"PHL","Philippines",74,"Sulu","","","Lalawigan|Probinsya","Province"
2323,177,"PHL","Philippines",75,"Surigao del Norte","","","Lalawigan|Probinsya","Province"
2324,177,"PHL","Philippines",76,"Surigao del Sur","","","Lalawigan|Probinsya","Province"
2325,177,"PHL","Philippines",77,"Tarlac","","","Lalawigan|Probinsya","Province"
2326,177,"PHL","Philippines",78,"Tawi-Tawi","","","Lalawigan|Probinsya","Province"
2327,177,"PHL","Philippines",79,"Zambales","","","Lalawigan|Probinsya","Province"
2328,177,"PHL","Philippines",80,"Zamboanga del Norte","","","Lalawigan|Probinsya","Province"
2329,177,"PHL","Philippines",81,"Zamboanga del Sur","","","Lalawigan|Probinsya","Province"
2330,177,"PHL","Philippines",82,"Zamboanga Sibugay","","","Lalawigan|Probinsya","Province"
